strategy_id,market,window_name,trades,window_status
VMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
